"lsoa11cd","lsoa11nm","BP_PRE_1900","BP_1900_1918","BP_1919_1929","BP_1930_1939","BP_1945_1954","BP_1955_1964","BP_1965_1972","BP_1973_1982","BP_1983_1992","BP_1993_1999","BP_2000_2009","BP_2010_2015","BP_UNKNOWN","ALL_PROPERTIES","MODE1_VAL","MODE1_TYPE","MODE1_PC","MODE2_VAL","MODE2_TYPE","MODE2_PC","MODE2_MODE1_RATIO"
"E01000221","Barnet 039B",1,50,20,0,30,100,110,40,1,170,1,0,1,510,170,"BP_1993_1999",0.33,110,"BP_1965_1972",0.22,0.65
"E01000222","Barnet 040C",0,0,90,380,120,0,0,0,0,1,0,0,0,600,380,"BP_1930_1939",0.63,120,"BP_1945_1954",0.2,0.32
"E01000223","Barnet 039C",0,100,0,240,70,20,0,0,40,20,1,0,0,510,240,"BP_1930_1939",0.47,100,"BP_1900_1918",0.2,0.42
"E01000224","Barnet 040D",0,0,0,560,0,0,0,0,0,0,0,0,0,560,560,"BP_1930_1939",1,0,"BP_UNKNOWN",0,0
"E01000225","Barnet 037F",0,50,270,50,1,40,10,90,20,10,10,40,0,590,270,"BP_1919_1929",0.46,90,"BP_1973_1982",0.15,0.33
"E01000226","Barnet 018D",0,1,560,10,0,0,0,10,20,40,1,0,0,630,560,"BP_1919_1929",0.89,40,"BP_1993_1999",0.06,0.07
"E01000227","Barnet 018E",0,1,1,580,20,10,1,0,0,0,1,0,1,620,580,"BP_1930_1939",0.94,20,"BP_1945_1954",0.03,0.03
"E01000228","Barnet 007A",30,10,10,220,80,100,0,1,10,1,20,10,1,480,220,"BP_1930_1939",0.46,100,"BP_1955_1964",0.21,0.45
"E01000229","Barnet 013B",0,0,0,170,280,10,80,1,20,40,10,1,0,610,280,"BP_1945_1954",0.46,170,"BP_1930_1939",0.28,0.61
"E01000230","Barnet 013C",0,0,1,460,1,30,20,20,110,10,40,0,0,670,460,"BP_1930_1939",0.69,110,"BP_1983_1992",0.16,0.24
"E01000231","Barnet 013D",0,0,0,610,20,20,10,0,0,0,1,1,0,660,610,"BP_1930_1939",0.92,20,"BP_1955_1964",0.03,0.03
"E01000232","Barnet 013E",0,0,110,340,10,20,10,1,90,60,80,10,1,720,340,"BP_1930_1939",0.47,110,"BP_1919_1929",0.15,0.32
"E01000233","Barnet 013F",1,1,10,580,1,10,30,1,0,10,1,1,1,650,580,"BP_1930_1939",0.89,30,"BP_1965_1972",0.05,0.05
"E01000234","Barnet 021D",10,160,80,280,1,10,10,10,20,100,20,10,0,690,280,"BP_1930_1939",0.41,160,"BP_1900_1918",0.23,0.57
