"lsoa11cd","lsoa11nm","BP_PRE_1900","BP_1900_1918","BP_1919_1929","BP_1930_1939","BP_1945_1954","BP_1955_1964","BP_1965_1972","BP_1973_1982","BP_1983_1992","BP_1993_1999","BP_2000_2009","BP_2010_2015","BP_UNKNOWN","ALL_PROPERTIES","MODE1_VAL","MODE1_TYPE","MODE1_PC","MODE2_VAL","MODE2_TYPE","MODE2_PC","MODE2_MODE1_RATIO"
"E01000921","Camden 003C",760,50,1,0,30,40,10,0,1,30,50,10,10,990,760,"BP_PRE_1900",0.77,50,"BP_2000_2009",0.05,0.07
"E01000922","Camden 007E",390,0,0,0,1,20,80,20,1,70,120,20,10,720,390,"BP_PRE_1900",0.54,120,"BP_2000_2009",0.17,0.31
"E01000923","Camden 003D",490,90,0,0,1,20,1,10,1,10,30,0,1,670,490,"BP_PRE_1900",0.73,90,"BP_1900_1918",0.13,0.18
"E01000924","Camden 009C",650,1,0,0,40,10,10,10,10,10,70,0,10,810,650,"BP_PRE_1900",0.8,70,"BP_2000_2009",0.09,0.11
"E01000925","Camden 009D",100,30,0,170,160,90,50,0,0,20,10,0,1,630,170,"BP_1930_1939",0.27,160,"BP_1945_1954",0.25,0.94
"E01000926","Camden 009E",360,1,0,1,140,10,1,80,10,10,10,10,10,630,360,"BP_PRE_1900",0.57,140,"BP_1945_1954",0.22,0.39
"E01000927","Camden 007F",500,0,60,0,0,10,0,1,30,70,40,1,10,720,500,"BP_PRE_1900",0.69,70,"BP_1993_1999",0.1,0.14
"E01000928","Camden 003E",400,10,1,0,10,20,190,1,1,10,20,10,30,690,400,"BP_PRE_1900",0.58,190,"BP_1965_1972",0.28,0.48
"E01000929","Camden 020A",100,1,1,1,50,160,260,40,1,10,40,0,1,660,260,"BP_1965_1972",0.39,160,"BP_1955_1964",0.24,0.62
"E01000930","Camden 020B",230,0,0,120,140,170,100,160,0,110,150,0,10,1200,230,"BP_PRE_1900",0.19,170,"BP_1955_1964",0.14,0.74
"E01000931","Camden 013C",390,50,1,0,10,20,200,140,10,1,110,60,20,1000,390,"BP_PRE_1900",0.39,200,"BP_1965_1972",0.2,0.51
"E01000932","Camden 013D",770,80,0,0,10,0,0,60,1,10,0,0,10,940,770,"BP_PRE_1900",0.82,80,"BP_1900_1918",0.09,0.1
"E01000933","Camden 020C",620,20,0,20,10,10,20,130,10,10,20,20,1,870,620,"BP_PRE_1900",0.71,130,"BP_1973_1982",0.15,0.21
"E01000934","Camden 020D",90,0,0,30,170,40,0,410,0,20,60,0,1,810,410,"BP_1973_1982",0.51,170,"BP_1945_1954",0.21,0.41
"E01000935","Camden 020E",130,0,0,50,0,1,210,390,1,0,0,0,0,780,390,"BP_1973_1982",0.5,210,"BP_1965_1972",0.27,0.54
"E01000936","Camden 024A",230,1,10,140,0,0,0,40,50,50,60,1,30,610,230,"BP_PRE_1900",0.38,140,"BP_1930_1939",0.23,0.61
"E01000937","Camden 025B",240,40,0,100,10,40,220,20,0,0,110,60,10,830,240,"BP_PRE_1900",0.29,220,"BP_1965_1972",0.27,0.92
"E01000938","Camden 024B",560,10,0,0,0,0,10,20,10,20,100,1,20,760,560,"BP_PRE_1900",0.74,100,"BP_2000_2009",0.13,0.18
"E01000939","Camden 024C",150,0,1,20,260,1,10,20,1,20,10,0,1,500,260,"BP_1945_1954",0.52,150,"BP_PRE_1900",0.3,0.58
"E01000940","Camden 024D",340,10,0,0,0,60,0,70,20,0,1,0,0,500,340,"BP_PRE_1900",0.68,70,"BP_1973_1982",0.14,0.21
"E01000941","Camden 025C",190,40,0,50,20,250,0,0,0,0,0,0,10,560,250,"BP_1955_1964",0.45,190,"BP_PRE_1900",0.34,0.76
"E01000942","Camden 025D",230,360,0,1,0,30,0,1,20,0,1,10,1,650,360,"BP_1900_1918",0.55,230,"BP_PRE_1900",0.35,0.64
"E01000943","Camden 025E",590,90,0,1,0,0,0,0,30,60,1,0,10,790,590,"BP_PRE_1900",0.75,90,"BP_1900_1918",0.11,0.15
"E01000944","Camden 023A",70,0,0,0,0,460,20,1,1,60,0,0,1,610,460,"BP_1955_1964",0.75,70,"BP_PRE_1900",0.11,0.15
"E01000945","Camden 023B",270,10,1,0,1,30,70,60,100,130,90,230,10,990,270,"BP_PRE_1900",0.27,230,"BP_2010_2015",0.23,0.85
"E01000946","Camden 021B",270,1,1,130,50,30,170,70,10,0,120,190,10,1040,270,"BP_PRE_1900",0.26,190,"BP_2010_2015",0.18,0.7
"E01000947","Camden 021C",650,10,0,60,20,10,1,70,20,60,30,10,10,920,650,"BP_PRE_1900",0.71,70,"BP_1973_1982",0.08,0.11
"E01000948","Camden 021D",550,1,1,0,40,150,20,20,30,20,20,0,10,870,550,"BP_PRE_1900",0.63,150,"BP_1955_1964",0.17,0.27
"E01000949","Camden 023C",20,60,1,330,60,150,50,0,10,0,40,0,20,750,330,"BP_1930_1939",0.44,150,"BP_1955_1964",0.2,0.45
"E01000950","Camden 023D",20,0,0,0,180,340,20,0,0,0,10,0,1,560,340,"BP_1955_1964",0.61,180,"BP_1945_1954",0.32,0.53
"E01000951","Camden 023E",0,0,0,0,60,410,0,110,0,0,10,0,1,590,410,"BP_1955_1964",0.69,110,"BP_1973_1982",0.19,0.27
"E01000952","Camden 022A",180,0,0,80,120,50,200,40,20,1,1,0,1,680,200,"BP_1965_1972",0.29,180,"BP_PRE_1900",0.26,0.9
"E01000953","Camden 022B",40,0,60,150,100,0,40,290,0,0,1,570,50,1310,570,"BP_2010_2015",0.44,290,"BP_1973_1982",0.22,0.51
"E01000954","Camden 022C",80,0,160,130,0,1,320,0,0,1,0,0,0,690,320,"BP_1965_1972",0.46,160,"BP_1919_1929",0.23,0.5
"E01000955","Camden 022D",90,0,60,120,20,50,60,120,20,1,50,1,40,650,120,"BP_1973_1982",0.18,120,"BP_1930_1939",0.18,1
"E01000956","Camden 022E",140,110,1,260,0,10,1,1,10,50,80,30,10,700,260,"BP_1930_1939",0.37,140,"BP_PRE_1900",0.2,0.54
"E01000957","Camden 019C",70,0,0,0,0,10,250,10,410,20,40,0,1,810,410,"BP_1983_1992",0.51,250,"BP_1965_1972",0.31,0.61
"E01000958","Camden 019D",340,0,0,0,0,80,40,10,120,10,250,280,10,1130,340,"BP_PRE_1900",0.3,280,"BP_2010_2015",0.25,0.82
"E01000959","Camden 019E",10,0,0,0,0,150,520,0,0,1,10,10,0,690,520,"BP_1965_1972",0.75,150,"BP_1955_1964",0.22,0.29
"E01000960","Camden 017A",520,30,1,90,0,190,70,1,10,10,10,1,1,940,520,"BP_PRE_1900",0.55,190,"BP_1955_1964",0.2,0.37
"E01000961","Camden 017B",90,0,0,0,0,520,90,1,10,10,20,10,40,800,520,"BP_1955_1964",0.65,90,"BP_1965_1972",0.11,0.17
"E01000962","Camden 016A",800,10,0,0,0,20,10,10,10,1,10,0,10,870,800,"BP_PRE_1900",0.92,20,"BP_1955_1964",0.02,0.03
"E01000963","Camden 017C",80,1,140,20,1,450,10,80,90,1,170,1,1,1040,450,"BP_1955_1964",0.43,170,"BP_2000_2009",0.16,0.38
"E01000964","Camden 016B",620,1,1,10,0,180,20,0,0,1,0,0,10,840,620,"BP_PRE_1900",0.74,180,"BP_1955_1964",0.21,0.29
"E01000965","Camden 016C",470,1,1,110,0,100,50,30,20,0,1,30,30,850,470,"BP_PRE_1900",0.55,110,"BP_1930_1939",0.13,0.23
"E01000966","Camden 016D",730,1,0,1,0,0,0,10,1,0,0,0,10,750,730,"BP_PRE_1900",0.97,10,"BP_UNKNOWN",0.01,0.01
"E01000967","Camden 017D",280,40,20,130,1,50,80,10,10,20,20,40,1,690,280,"BP_PRE_1900",0.41,130,"BP_1930_1939",0.19,0.46
"E01000968","Camden 016E",620,60,0,100,10,0,0,0,10,1,10,0,1,810,620,"BP_PRE_1900",0.77,100,"BP_1930_1939",0.12,0.16
"E01000969","Camden 010A",270,440,110,110,10,20,1,10,0,0,0,10,10,980,440,"BP_1900_1918",0.45,270,"BP_PRE_1900",0.28,0.61
"E01000970","Camden 010B",690,10,10,80,0,0,10,0,0,0,20,1,10,830,690,"BP_PRE_1900",0.83,80,"BP_1930_1939",0.1,0.12
"E01000971","Camden 010C",480,110,0,0,0,1,10,20,0,0,10,0,1,630,480,"BP_PRE_1900",0.76,110,"BP_1900_1918",0.17,0.23
"E01000972","Camden 010D",370,0,0,0,0,10,1,290,1,190,160,0,10,1030,370,"BP_PRE_1900",0.36,290,"BP_1973_1982",0.28,0.78
"E01000973","Camden 010E",720,30,0,20,1,1,1,30,20,40,30,100,1,1010,720,"BP_PRE_1900",0.71,100,"BP_2010_2015",0.1,0.14
"E01000974","Camden 013E",740,0,0,0,0,0,0,10,30,10,10,1,1,800,740,"BP_PRE_1900",0.93,30,"BP_1983_1992",0.04,0.04
"E01000975","Croydon 022A",320,140,120,10,20,0,20,50,30,1,40,1,1,730,320,"BP_PRE_1900",0.44,140,"BP_1900_1918",0.19,0.44
"E01000976","Croydon 022B",710,10,10,1,1,0,50,0,20,10,10,0,10,840,710,"BP_PRE_1900",0.85,50,"BP_1965_1972",0.06,0.07
"E01000977","Croydon 022C",310,60,30,20,40,180,90,140,50,10,10,0,1,930,310,"BP_PRE_1900",0.33,180,"BP_1955_1964",0.19,0.58
"E01000978","Croydon 022D",500,20,20,70,30,60,40,140,1,10,10,1,20,920,500,"BP_PRE_1900",0.54,140,"BP_1973_1982",0.15,0.28
"E01000979","Croydon 022E",290,210,50,30,1,50,1,50,30,0,70,10,1,790,290,"BP_PRE_1900",0.37,210,"BP_1900_1918",0.27,0.72
"E01000980","Croydon 017A",250,50,150,100,0,0,1,0,20,50,20,1,1,640,250,"BP_PRE_1900",0.39,150,"BP_1919_1929",0.23,0.6
"E01000981","Croydon 017B",170,240,100,70,10,1,10,1,10,1,30,0,1,630,240,"BP_1900_1918",0.38,170,"BP_PRE_1900",0.27,0.71
"E01000982","Croydon 017C",410,170,0,1,0,10,10,1,70,1,20,0,1,700,410,"BP_PRE_1900",0.59,170,"BP_1900_1918",0.24,0.41
"E01000983","Croydon 017D",100,390,60,50,10,10,0,10,1,0,30,1,1,660,390,"BP_1900_1918",0.59,100,"BP_PRE_1900",0.15,0.26
"E01000984","Croydon 022F",400,60,40,10,20,60,10,20,40,60,130,1,1,850,400,"BP_PRE_1900",0.47,130,"BP_2000_2009",0.15,0.33
"E01000985","Croydon 021A",1,120,220,150,0,1,0,0,0,20,10,0,1,520,220,"BP_1919_1929",0.42,150,"BP_1930_1939",0.29,0.68
"E01000986","Croydon 021B",40,260,140,160,1,0,1,10,10,0,80,10,1,700,260,"BP_1900_1918",0.37,160,"BP_1930_1939",0.23,0.62
"E01000987","Croydon 021C",0,300,120,100,0,1,0,10,0,0,0,0,1,530,300,"BP_1900_1918",0.57,120,"BP_1919_1929",0.23,0.4
"E01000989","Croydon 018A",0,0,20,470,1,30,20,10,0,80,20,1,1,650,470,"BP_1930_1939",0.72,80,"BP_1993_1999",0.12,0.17
"E01000990","Croydon 045A",0,80,10,190,0,0,70,200,0,1,0,1,0,550,200,"BP_1973_1982",0.36,190,"BP_1930_1939",0.35,0.95
"E01000991","Croydon 018B",1,0,40,360,10,50,80,50,50,10,30,10,1,690,360,"BP_1930_1939",0.52,80,"BP_1965_1972",0.12,0.22
"E01000992","Croydon 014A",1,80,30,180,160,1,130,0,0,10,100,1,10,720,180,"BP_1930_1939",0.25,160,"BP_1945_1954",0.22,0.89
"E01000993","Croydon 021D",30,270,90,160,1,20,1,0,10,0,40,0,1,620,270,"BP_1900_1918",0.44,160,"BP_1930_1939",0.26,0.59
"E01000994","Croydon 009A",130,330,60,1,1,20,1,0,20,1,0,0,1,550,330,"BP_1900_1918",0.6,130,"BP_PRE_1900",0.24,0.39
"E01000995","Croydon 009B",80,170,30,240,0,10,0,0,80,1,1,0,1,600,240,"BP_1930_1939",0.4,170,"BP_1900_1918",0.28,0.71
"E01000996","Croydon 009C",70,370,1,10,0,0,0,0,0,0,0,0,0,460,370,"BP_1900_1918",0.8,70,"BP_PRE_1900",0.15,0.19
"E01000997","Croydon 009D",60,150,70,160,0,0,0,20,30,0,10,1,1,510,160,"BP_1930_1939",0.31,150,"BP_1900_1918",0.29,0.94
"E01000998","Croydon 010A",460,90,20,0,10,40,0,0,0,1,1,0,1,620,460,"BP_PRE_1900",0.74,90,"BP_1900_1918",0.15,0.2
"E01000999","Croydon 009E",60,380,0,0,1,0,0,0,0,0,0,0,0,450,380,"BP_1900_1918",0.84,60,"BP_PRE_1900",0.13,0.16
"E01001000","Croydon 010B",160,160,120,10,0,1,40,10,0,10,1,0,10,490,160,"BP_1900_1918",0.33,160,"BP_PRE_1900",0.33,1
"E01001001","Croydon 013A",310,60,10,20,10,90,0,1,30,0,10,30,10,590,310,"BP_PRE_1900",0.53,90,"BP_1955_1964",0.15,0.29
"E01001002","Croydon 009F",110,350,0,1,1,20,0,10,30,0,0,1,10,520,350,"BP_1900_1918",0.67,110,"BP_PRE_1900",0.21,0.31
"E01001003","Croydon 010C",60,180,100,170,0,10,1,0,50,10,50,0,1,630,180,"BP_1900_1918",0.29,170,"BP_1930_1939",0.27,0.94
"E01001004","Croydon 015A",160,130,20,150,0,0,0,20,1,50,290,0,20,830,290,"BP_2000_2009",0.35,160,"BP_PRE_1900",0.19,0.55
"E01001005","Croydon 019A",450,50,10,20,0,0,0,0,10,0,1,0,1,540,450,"BP_PRE_1900",0.83,50,"BP_1900_1918",0.09,0.11
"E01001006","Croydon 016A",1,10,10,170,1,0,0,0,0,420,1,0,10,620,420,"BP_1993_1999",0.68,170,"BP_1930_1939",0.27,0.4
"E01001007","Croydon 016B",1,10,50,510,10,20,0,0,20,0,1,0,0,610,510,"BP_1930_1939",0.84,50,"BP_1919_1929",0.08,0.1
"E01001008","Croydon 019B",80,50,90,310,1,0,0,0,0,0,1,0,1,540,310,"BP_1930_1939",0.57,90,"BP_1919_1929",0.17,0.29
"E01001009","Croydon 019C",230,180,20,70,1,50,0,0,0,0,60,60,1,670,230,"BP_PRE_1900",0.34,180,"BP_1900_1918",0.27,0.78
"E01001010","Croydon 019D",40,40,40,370,0,1,0,10,0,30,10,1,1,540,370,"BP_1930_1939",0.69,40,"BP_1919_1929",0.07,0.11
"E01001011","Croydon 019E",370,10,0,70,0,1,70,30,10,30,150,20,20,780,370,"BP_PRE_1900",0.47,150,"BP_2000_2009",0.19,0.41
"E01001012","Croydon 020A",620,40,10,0,0,0,10,20,10,0,40,10,1,750,620,"BP_PRE_1900",0.83,40,"BP_2000_2009",0.05,0.06
"E01001013","Croydon 020B",250,40,1,60,1,10,70,400,20,10,40,0,1,920,400,"BP_1973_1982",0.43,250,"BP_PRE_1900",0.27,0.63
"E01001014","Croydon 024A",330,60,0,0,1,1,40,180,60,1,340,480,20,1510,480,"BP_2010_2015",0.32,340,"BP_2000_2009",0.23,0.71
"E01001015","Croydon 041A",1,30,10,170,30,1,30,230,10,1,0,60,0,570,230,"BP_1973_1982",0.4,170,"BP_1930_1939",0.3,0.74
"E01001016","Croydon 041B",1,10,80,180,70,30,240,20,50,0,1,0,0,670,240,"BP_1965_1972",0.36,180,"BP_1930_1939",0.27,0.75
"E01001017","Croydon 043A",10,100,30,240,80,100,60,20,1,10,1,1,1,650,240,"BP_1930_1939",0.37,100,"BP_1955_1964",0.15,0.42
"E01001018","Croydon 044A",1,1,10,210,160,130,60,20,30,1,20,1,1,660,210,"BP_1930_1939",0.32,160,"BP_1945_1954",0.24,0.76
"E01001019","Croydon 044B",10,0,10,320,90,20,50,10,1,80,10,1,10,600,320,"BP_1930_1939",0.53,90,"BP_1945_1954",0.15,0.28
"E01001020","Croydon 044C",0,10,10,390,160,50,1,10,1,0,10,0,1,640,390,"BP_1930_1939",0.61,160,"BP_1945_1954",0.25,0.41
"E01001021","Croydon 044D",10,0,10,50,200,180,1,1,120,10,0,1,0,590,200,"BP_1945_1954",0.34,180,"BP_1955_1964",0.31,0.9
"E01001022","Croydon 044E",10,1,1,150,110,250,30,30,10,1,1,10,1,620,250,"BP_1955_1964",0.4,150,"BP_1930_1939",0.24,0.6
"E01001023","Croydon 041C",30,220,90,110,40,40,10,1,70,20,0,20,10,650,220,"BP_1900_1918",0.34,110,"BP_1930_1939",0.17,0.5
"E01001024","Croydon 043B",30,140,160,140,30,10,1,1,10,10,1,0,1,530,160,"BP_1919_1929",0.3,140,"BP_1930_1939",0.26,0.88
"E01001025","Croydon 043C",0,1,1,410,50,10,1,1,0,0,0,1,1,490,410,"BP_1930_1939",0.84,50,"BP_1945_1954",0.1,0.12
"E01001026","Croydon 043D",0,10,150,370,40,40,1,1,1,20,20,50,1,690,370,"BP_1930_1939",0.54,150,"BP_1919_1929",0.22,0.41
"E01001027","Croydon 043E",10,20,50,290,50,30,10,30,20,10,50,20,1,570,290,"BP_1930_1939",0.51,50,"BP_2000_2009",0.09,0.17
"E01001028","Croydon 038A",0,40,150,130,80,70,10,10,10,10,20,10,10,550,150,"BP_1919_1929",0.27,130,"BP_1930_1939",0.24,0.87
"E01001029","Croydon 038B",1,160,50,160,10,30,40,20,10,40,40,30,30,610,160,"BP_1930_1939",0.26,160,"BP_1900_1918",0.26,1
"E01001030","Croydon 038C",0,40,140,210,10,20,20,20,10,1,1,20,10,500,210,"BP_1930_1939",0.42,140,"BP_1919_1929",0.28,0.67
"E01001031","Croydon 038D",10,190,60,160,10,20,10,20,20,1,10,1,1,500,190,"BP_1900_1918",0.38,160,"BP_1930_1939",0.32,0.84
"E01001032","Croydon 035A",10,60,30,110,20,280,20,1,10,1,1,1,1,530,280,"BP_1955_1964",0.53,110,"BP_1930_1939",0.21,0.39
"E01001033","Croydon 031A",300,100,30,160,30,10,1,1,40,1,0,1,10,690,300,"BP_PRE_1900",0.43,160,"BP_1930_1939",0.23,0.53
"E01001034","Croydon 031B",180,330,20,10,10,10,50,10,10,10,20,30,10,680,330,"BP_1900_1918",0.49,180,"BP_PRE_1900",0.26,0.55
"E01001035","Croydon 027A",320,30,30,40,1,10,80,70,110,50,80,1,40,870,320,"BP_PRE_1900",0.37,110,"BP_1983_1992",0.13,0.34
"E01001036","Croydon 029A",70,120,10,100,40,110,70,20,20,30,20,10,10,640,120,"BP_1900_1918",0.19,110,"BP_1955_1964",0.17,0.92
"E01001037","Croydon 029B",410,30,1,50,0,20,0,10,1,70,10,20,20,640,410,"BP_PRE_1900",0.64,70,"BP_1993_1999",0.11,0.17
"E01001038","Croydon 029C",390,30,0,10,1,30,30,60,50,100,150,20,40,920,390,"BP_PRE_1900",0.42,150,"BP_2000_2009",0.16,0.38
"E01001039","Croydon 029D",40,100,40,200,70,20,30,80,1,10,1,10,10,590,200,"BP_1930_1939",0.34,100,"BP_1900_1918",0.17,0.5
"E01001040","Croydon 029E",560,10,1,30,10,0,0,40,20,10,50,10,20,760,560,"BP_PRE_1900",0.74,50,"BP_2000_2009",0.07,0.09
"E01001041","Croydon 031C",410,180,0,20,1,50,0,0,0,1,50,10,50,780,410,"BP_PRE_1900",0.53,180,"BP_1900_1918",0.23,0.44
"E01001042","Croydon 024B",450,20,1,70,1,0,1,0,10,200,150,20,30,940,450,"BP_PRE_1900",0.48,200,"BP_1993_1999",0.21,0.44
"E01001043","Croydon 027B",490,60,30,70,30,30,230,20,20,20,230,40,20,1300,490,"BP_PRE_1900",0.38,230,"BP_2000_2009",0.18,0.47
"E01001044","Croydon 023A",20,30,1,60,1,30,390,180,120,20,30,0,0,870,390,"BP_1965_1972",0.45,180,"BP_1973_1982",0.21,0.46
"E01001045","Croydon 027C",350,50,1,10,20,10,130,170,100,10,260,140,30,1280,350,"BP_PRE_1900",0.27,260,"BP_2000_2009",0.2,0.74
"E01001046","Croydon 023B",0,0,1,0,0,80,370,320,70,0,0,0,0,850,370,"BP_1965_1972",0.44,320,"BP_1973_1982",0.38,0.86
"E01001047","Croydon 027D",480,60,10,30,10,100,1,10,80,30,20,1,10,860,480,"BP_PRE_1900",0.56,100,"BP_1955_1964",0.12,0.21
"E01001048","Croydon 020C",350,10,10,1,1,100,80,70,110,150,70,390,20,1360,390,"BP_2010_2015",0.29,350,"BP_PRE_1900",0.26,0.9
"E01001049","Croydon 023C",10,1,120,170,30,20,90,40,10,20,10,20,1,530,170,"BP_1930_1939",0.32,120,"BP_1919_1929",0.23,0.71
"E01001050","Croydon 023D",0,0,0,50,10,70,290,210,120,70,10,10,10,830,290,"BP_1965_1972",0.35,210,"BP_1973_1982",0.25,0.72
"E01001051","Croydon 030A",0,0,0,0,0,1,570,0,0,10,0,0,0,580,570,"BP_1965_1972",0.98,10,"BP_1993_1999",0.02,0.02
"E01001052","Croydon 030B",0,0,0,0,0,0,470,0,0,0,0,0,0,470,470,"BP_1965_1972",1,0,"BP_UNKNOWN",0,0
"E01001053","Croydon 032A",0,0,30,110,210,190,0,10,0,0,0,10,1,560,210,"BP_1945_1954",0.38,190,"BP_1955_1964",0.34,0.9
"E01001054","Croydon 030C",0,0,0,0,40,180,360,10,1,0,10,0,0,600,360,"BP_1965_1972",0.6,180,"BP_1955_1964",0.3,0.5
"E01001055","Croydon 032B",0,0,0,0,90,430,30,40,0,0,10,0,1,590,430,"BP_1955_1964",0.73,90,"BP_1945_1954",0.15,0.21
"E01001056","Croydon 030D",0,0,0,0,80,490,0,0,10,10,10,10,0,600,490,"BP_1955_1964",0.82,80,"BP_1945_1954",0.13,0.16
"E01001057","Croydon 030E",0,0,0,0,0,600,10,1,20,0,0,10,1,640,600,"BP_1955_1964",0.94,20,"BP_1983_1992",0.03,0.03
"E01001058","Croydon 034A",0,10,1,0,1,0,330,210,0,0,0,0,0,550,330,"BP_1965_1972",0.6,210,"BP_1973_1982",0.38,0.64
"E01001059","Croydon 034B",0,0,0,0,0,0,140,550,0,0,0,0,1,700,550,"BP_1973_1982",0.79,140,"BP_1965_1972",0.2,0.25
"E01001060","Croydon 034C",0,0,0,10,1,0,620,1,40,0,0,0,10,680,620,"BP_1965_1972",0.91,40,"BP_1983_1992",0.06,0.06
"E01001061","Croydon 034D",1,0,20,60,240,40,100,220,0,1,10,1,1,690,240,"BP_1945_1954",0.35,220,"BP_1973_1982",0.32,0.92
"E01001062","Croydon 026A",50,1,150,190,20,20,60,20,10,50,20,1,10,580,190,"BP_1930_1939",0.33,150,"BP_1919_1929",0.26,0.79
"E01001063","Croydon 026B",10,1,270,220,10,70,10,1,1,1,0,0,10,590,270,"BP_1919_1929",0.46,220,"BP_1930_1939",0.37,0.81
"E01001064","Croydon 026C",40,1,10,100,140,50,110,50,90,30,1,10,10,640,140,"BP_1945_1954",0.22,110,"BP_1965_1972",0.17,0.79
"E01001065","Croydon 034E",20,1,10,80,130,20,250,160,0,1,10,0,1,670,250,"BP_1965_1972",0.37,160,"BP_1973_1982",0.24,0.64
"E01001066","Croydon 034F",1,0,0,0,230,200,0,20,30,20,10,10,1,520,230,"BP_1945_1954",0.44,200,"BP_1955_1964",0.38,0.87
"E01001067","Croydon 041D",1,40,50,270,70,80,20,20,10,1,20,10,10,590,270,"BP_1930_1939",0.46,80,"BP_1955_1964",0.14,0.3
"E01001068","Croydon 042A",70,20,50,60,30,190,40,130,40,30,90,1,40,780,190,"BP_1955_1964",0.24,130,"BP_1973_1982",0.17,0.68
"E01001069","Croydon 040A",10,10,0,170,30,150,30,50,10,10,30,20,20,530,170,"BP_1930_1939",0.32,150,"BP_1955_1964",0.28,0.88
"E01001070","Croydon 040B",0,10,1,140,20,410,20,10,10,1,30,1,20,670,410,"BP_1955_1964",0.61,140,"BP_1930_1939",0.21,0.34
"E01001071","Croydon 042B",50,0,100,410,20,80,10,10,10,10,40,1,1,750,410,"BP_1930_1939",0.55,100,"BP_1919_1929",0.13,0.24
"E01001072","Croydon 042C",30,20,10,30,20,120,80,120,70,10,20,1,10,550,120,"BP_1973_1982",0.22,120,"BP_1955_1964",0.22,1
"E01001073","Croydon 037A",0,180,60,70,70,20,10,40,140,10,1,1,30,630,180,"BP_1900_1918",0.29,140,"BP_1983_1992",0.22,0.78
"E01001074","Croydon 041E",20,170,50,40,10,10,10,100,170,30,190,30,20,830,190,"BP_2000_2009",0.23,170,"BP_1983_1992",0.2,0.89
"E01001075","Croydon 040C",90,140,30,120,10,100,80,20,0,10,20,0,20,640,140,"BP_1900_1918",0.22,120,"BP_1930_1939",0.19,0.86
"E01001076","Croydon 036A",0,0,10,80,270,150,90,0,1,1,1,1,0,600,270,"BP_1945_1954",0.45,150,"BP_1955_1964",0.25,0.56
"E01001077","Croydon 032C",0,0,60,450,1,0,0,0,0,0,1,10,0,530,450,"BP_1930_1939",0.85,60,"BP_1919_1929",0.11,0.13
"E01001078","Croydon 032D",1,0,30,160,0,170,60,90,10,0,0,1,0,520,170,"BP_1955_1964",0.33,160,"BP_1930_1939",0.31,0.94
"E01001079","Croydon 036B",0,0,0,1,250,310,0,40,40,0,10,10,0,650,310,"BP_1955_1964",0.48,250,"BP_1945_1954",0.38,0.81
"E01001080","Croydon 036C",0,0,1,10,10,400,20,90,130,20,1,10,0,690,400,"BP_1955_1964",0.58,130,"BP_1983_1992",0.19,0.33
"E01001081","Croydon 036D",0,0,0,0,150,350,0,1,0,0,0,0,0,500,350,"BP_1955_1964",0.7,150,"BP_1945_1954",0.3,0.43
"E01001082","Croydon 032E",0,0,1,120,220,190,20,1,1,0,10,0,0,560,220,"BP_1945_1954",0.39,190,"BP_1955_1964",0.34,0.86
"E01001083","Croydon 003A",0,0,60,480,10,0,0,10,0,0,10,0,1,560,480,"BP_1930_1939",0.86,60,"BP_1919_1929",0.11,0.13
"E01001084","Croydon 002A",30,10,130,290,10,50,110,0,20,0,20,0,1,670,290,"BP_1930_1939",0.43,130,"BP_1919_1929",0.19,0.45
"E01001085","Croydon 004A",10,130,90,240,40,10,0,50,0,1,1,20,10,600,240,"BP_1930_1939",0.4,130,"BP_1900_1918",0.22,0.54
"E01001086","Croydon 003B",1,430,100,50,10,0,0,1,0,0,10,1,1,610,430,"BP_1900_1918",0.7,100,"BP_1919_1929",0.16,0.23
"E01001087","Croydon 003C",70,420,30,60,20,10,1,30,0,1,150,30,10,840,420,"BP_1900_1918",0.5,150,"BP_2000_2009",0.18,0.36
"E01001088","Croydon 004B",40,110,20,420,0,0,0,0,0,10,0,0,1,610,420,"BP_1930_1939",0.69,110,"BP_1900_1918",0.18,0.26
"E01001089","Croydon 004C",120,230,140,150,0,1,10,0,60,0,1,0,20,720,230,"BP_1900_1918",0.32,150,"BP_1930_1939",0.21,0.65
"E01001090","Croydon 004D",190,370,30,10,0,70,0,40,0,0,160,0,60,920,370,"BP_1900_1918",0.4,190,"BP_PRE_1900",0.21,0.51
"E01001091","Croydon 004E",20,190,110,160,20,50,1,20,1,0,1,0,10,580,190,"BP_1900_1918",0.33,160,"BP_1930_1939",0.28,0.84
"E01001092","Croydon 037B",1,250,10,90,20,30,20,10,30,10,140,60,20,670,250,"BP_1900_1918",0.37,140,"BP_2000_2009",0.21,0.56
"E01001093","Croydon 037C",1,20,10,360,10,100,40,50,50,1,40,0,1,670,360,"BP_1930_1939",0.54,100,"BP_1955_1964",0.15,0.28
"E01001094","Croydon 038E",20,200,70,100,10,40,10,20,10,10,30,1,20,560,200,"BP_1900_1918",0.36,100,"BP_1930_1939",0.18,0.5
"E01001095","Croydon 031D",70,150,40,230,20,40,0,1,20,20,10,10,10,600,230,"BP_1930_1939",0.38,150,"BP_1900_1918",0.25,0.65
"E01001096","Croydon 037D",10,60,90,270,10,40,10,10,30,1,20,0,1,540,270,"BP_1930_1939",0.5,90,"BP_1919_1929",0.17,0.33
"E01001097","Croydon 037E",20,160,40,100,1,100,1,120,150,40,270,90,50,1150,270,"BP_2000_2009",0.23,160,"BP_1900_1918",0.14,0.59
